Date,Open,High,Low,Close,Volume,Market Cap
2023-07-17,0.0719662227717497,0.0720397397573884,0.0691971512244438,0.0695389583984847,3485863414.1463413,9921689830.90244
2023-07-18,0.0693079286386257,0.0727306191486058,0.0683064921643274,0.0700211837427586,2863115547.923345,9782897716.327526
2023-07-19,0.0697532607979899,0.0703280518837592,0.0677200599571427,0.0686228260302506,2105463666.5888505,9652899391.101046
2023-07-20,0.0685515780603715,0.0713415528360324,0.068445970862006,0.0701613437479069,2279536823.4982576,9738220074.125437
2023-07-21,0.0701794861254469,0.0735244769506169,0.0694385279737711,0.0705176774296815,3945367873.895471,9932803334.567944
2023-07-22,0.0706020400064539,0.0762924290640887,0.0703854700756236,0.073287638588047,2957897594.696864,10186108712.369335
2023-07-23,0.0732566199822296,0.0732566199822296,0.0699533617516112,0.0703795859548421,2285777999.0313587,10076248706.620209
2023-07-24,0.0703923870041146,0.0728117581611105,0.0700891682952427,0.0718143103057563,1550060355.4320557,10065641099.69338
2023-07-25,0.0718027947448636,0.0770845832092421,0.0704220912030277,0.074316295332499,4482171969.341463,10337992819.073172
2023-07-26,0.0739767966776015,0.0832855198675522,0.0737338039271125,0.0819047161267417,6883800886.574913,10980444388.264809
2023-07-27,0.0818020909981064,0.0822218051135719,0.0769179063592076,0.0778981177333258,6893359875.926829,11119333633.463415
2023-07-28,0.0777971780657055,0.0798428423418815,0.0767626303578456,0.0775739339440926,3209645988.379791,10987156146.794426
2023-07-29,0.0775590362208865,0.0778215077043728,0.0761238734569776,0.0773309124367629,2503243336.6864114,10809424479.14634
2023-07-30,0.0770426727070766,0.0812123561847025,0.0770426727070766,0.0802485100453598,1800009148.6236937,11004454143.627178
2023-07-31,0.0804050915831357,0.080461744729518,0.077220246573953,0.0780137710772758,2878159050.533101,11167424968.658537
2023-08-01,0.0779977369368426,0.0796855939972855,0.0769407275890697,0.077810457249879,2370870303.746479,11020728837.59507
2023-08-02,0.0777383912794657,0.0781794536347936,0.0760002319022512,0.0779918224207492,2337215436.4738674,10798373151.885015
2023-08-03,0.0781246741666606,0.0782217703296405,0.074004685823052,0.074056677410673,2996165945.9268293,10695252861.989548
2023-08-04,0.0740516475961241,0.0748564104769221,0.0729731045805545,0.0735523814952244,3991758016.449477,10399618506.512196
2023-08-05,0.0736382218368408,0.0748035575750263,0.0727927460323253,0.0734383917245172,3436590032.055749,10387789509.808365
2023-08-06,0.073326173147892,0.0768348944497647,0.0729025303487119,0.0756392207971084,4046661442.36014,10572959076.947552
2023-08-07,0.0756137923622199,0.0764105464024126,0.0741662035447011,0.0741914463300192,3458686805.6689897,10556128443.738676
2023-08-08,0.0743199818741167,0.0755225294219835,0.072405147650468,0.073404294481973,2600333022.324042,10399635705.627178
2023-08-09,0.0733159128079784,0.0753944239206259,0.07319942242016,0.0749154690971675,1977162730.2090592,10402123206.167248
2023-08-10,0.0749061296782119,0.0761080789854502,0.074354495317943,0.0753212213722114,1984183958.560976,10547007598.825785
2023-08-11,0.0754125478330259,0.0767427224657835,0.0751250609421914,0.0757836217156701,2271230186.752613,10627740251.986065
2023-08-12,0.0757854708488988,0.07598890497952,0.0750765639925952,0.075690837141979,1602580087.2961671,10599634675.76655
2023-08-13,0.0755795027949865,0.0772150325393347,0.0755574251424103,0.07670155286203,1290679774.0278745,10746501455.95122
2023-08-14,0.0766971518592566,0.076788320648469,0.0744418315765831,0.0747414377763788,1361514249.6864111,10670470257.076654
2023-08-15,0.0746333825908009,0.0760197453647558,0.0738064503856998,0.0747775269044221,2031601738.1567943,10484708131.72474
2023-08-16,0.0746165945556222,0.0748335343532817,0.0692044387051326,0.0708192042912649,2461638645.1324043,10318124803.317074
2023-08-17,0.070790730538152,0.0711434119448866,0.0664902974015347,0.0671767518571303,2856121602.1324043,9776236173.95122
2023-08-18,0.067051943712383,0.0682877628200056,0.0564410710116105,0.0610978568911763,2351663592.8954706,9319283383.56446
2023-08-19,0.0611627101639795,0.0636954500734199,0.0600167175511874,0.0632127994907802,4853447938.010453,8743888498.09756
2023-08-20,0.0632760307703152,0.0643656904443895,0.0631335729730194,0.063701220221558,2479560596.749129,8935955817.390244
2023-08-21,0.0638328427885348,0.064549490718525,0.0634893360305827,0.0637732788725298,1420716747.6341465,8997033381.634146
2023-08-22,0.0638808780109864,0.0640424463629358,0.0611920562895523,0.0624917533832526,1396355853.2961671,8841490985.602787
2023-08-23,0.0626036711795409,0.0632364504538617,0.0608754720022841,0.0625837218584268,1764210195.8083625,8787296129.76655
2023-08-24,0.0625176759979673,0.0645053309694315,0.0624939475533797,0.0637299118005223,3068290259.550523,8911620476.219513
2023-08-25,0.0637580323570499,0.0640096660965728,0.0622208802927611,0.0629606227446009,1952407374.083624,8899265238.4669
2023-08-26,0.062964679219593,0.0630943028046643,0.0618400200048421,0.0630842550785294,1199853561.5296168,8788177738.721254
2023-08-27,0.0630834729488492,0.0633541548795914,0.0627010262878341,0.0628941645891318,757987017.3101045,8857055862.432056
2023-08-28,0.0628810748012208,0.0635143426766464,0.0627250871772088,0.0631579540752909,737548846.7979094,8876764336.665504
2023-08-29,0.0631049470099071,0.0635689149243708,0.0622102531882873,0.0634612499301549,916305140.7665504,8835666347.045296
2023-08-30,0.0634893439336203,0.0681355251201744,0.0624898845983694,0.0663383130780304,1186264972.6271777,9075174716.49826
2023-08-31,0.0663185291675302,0.0664282647139766,0.0645368198444402,0.065849066194696,2205808193.163763,9209146714.672474
2023-09-01,0.0658027311477002,0.0668661863209293,0.0630112168467762,0.0637738327630229,1766699286.348432,9183438740.111498
2023-09-02,0.0638979669386555,0.0641527883511868,0.062453279714987,0.0638442146486689,2321594699.9686413,8951816055.66899
2023-09-03,0.0637311997958643,0.0644082005955815,0.0628509233292523,0.0633796314343494,1962933625.783972,8942534343.181185
2023-09-04,0.0634518854778121,0.0637022588675366,0.0628281398047375,0.0631360668374402,1534298757.3205576,8917408236.623693
2023-09-05,0.0631880833016211,0.0637112176826563,0.062312251576617,0.0631811794033996,1018530083.4529616,8891822854.752613
2023-09-06,0.0631434110227098,0.0642582355089982,0.0628432884773752,0.0639538676285915,1442745059.4111495,8977522632.700348
2023-09-07,0.0639537035494735,0.0644936070050023,0.0629272390505537,0.0636345923095693,1309981329.4494774,8977872240.763065
2023-09-08,0.0636332521676003,0.0637781070188094,0.0627840536922065,0.0635234299182511,1164522690.1916375,8920577606.449478
2023-09-09,0.0635876364147341,0.0638510183737936,0.062622633690128,0.0636495004237793,1080432669.4912891,8920299385.50871
2023-09-10,0.0637326882950222,0.0638410797427031,0.0632622516269818,0.0633512210073116,1140829055.1358886,8947904320.550522
2023-09-11,0.0633088004564711,0.0633088004564711,0.0607409179590765,0.0612959525952857,2773045125.567944,8716179946.547039
2023-09-12,0.0612934460764804,0.0619148173037006,0.0593797927544169,0.0603406770905333,2750922108.912892,8548550707.547038
2023-09-13,0.060479910510707,0.0620840011773063,0.0604086424078349,0.0609237340787091,2451511006.7909408,8632029064.121952
2023-09-14,0.060805787016983,0.061528535353913,0.0605018381381032,0.0612385879502294,1672461460.1567943,8609492520.285715
2023-09-15,0.0612225225109201,0.0623799227850366,0.0611256284058877,0.0620487061195626,1400875009.5923345,8690306138.930313
2023-09-16,0.062107026463904,0.0628493167139099,0.0614972350200858,0.0625002886092767,1065493861.836237,8743884422.108013
